CSV_BEGIN
r,K,N,sigmaOverP,isPer,gridSize,msSpectral,msGrid,ratio
2,8,8,0.0020,1,973,3.5570,279.6607,78.6226
2,8,8,0.0050,1,393,1.2252,116.8915,95.4087
2,8,8,0.0125,1,161,0.6643,50.0898,75.4033
2,8,8,0.0500,1,45,0.3510,16.0873,45.8382
2,8,8,0.2000,1,15,0.1970,11.2489,57.0890
2,8,16,0.0020,1,973,6.6767,1129.5790,169.1810
2,8,16,0.0050,1,393,2.9023,475.0677,163.6894
2,8,16,0.0125,1,161,1.3187,205.1347,155.5574
2,8,16,0.0500,1,45,0.6523,69.5048,106.5479
2,8,16,0.2000,1,15,0.3755,46.4853,123.7957
2,16,1,0.0020,1,973,0.7480,13.3304,17.8214
2,16,1,0.0050,1,393,0.4420,5.7000,12.8948
2,16,1,0.0125,1,161,0.2432,2.2612,9.2972
2,16,1,0.0500,1,45,0.0747,0.8613,11.5292
2,16,1,0.2000,1,15,0.0496,0.9104,18.3459
2,16,2,0.0020,1,973,1.4188,54.5020,38.4155
2,16,2,0.0050,1,393,0.7357,22.3707,30.4088
2,16,2,0.0125,1,161,0.3493,9.7632,27.9515
2,16,2,0.0500,1,45,0.1361,3.0988,22.7646
2,16,2,0.2000,1,15,0.0762,2.4296,31.8991
2,16,4,0.0020,1,973,2.7189,207.5994,76.3538
2,16,4,0.0050,1,393,1.4678,87.3706,59.5253
2,16,4,0.0125,1,161,0.5294,38.1977,72.1506
2,16,4,0.0500,1,45,0.2422,15.1361,62.5031
