language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,guarded,value,rel_dev
python,ip,10.0,1200.0,relative periodic,True,True,3,6,,mobius,forced-by-method,inf,0.004607551080557788,62,False,0.10117688321347912,6.38378239159465e-16
python,ip,10.0,1200.0,relative periodic,True,True,3,9,,centres,forced-by-method,inf,0.01149234300156912,13,False,0.4008685141432219,nan
python,ip,10.0,1200.0,relative periodic,True,True,3,9,,bulger,forced-by-method,inf,0.0016644338557506267,97,False,0.4008685141432219,0.0
python,ip,10.0,1200.0,relative periodic,True,True,3,9,,mobius,forced-by-method,inf,0.0048190040738185546,41,False,0.4008685141432228,8.881784197001252e-16
python,ip,10.0,1200.0,relative periodic,True,True,3,14,,centres,forced-by-method,inf,0.20873095898423344,1,False,0.5867355813061675,nan
python,ip,10.0,1200.0,relative periodic,True,True,3,14,,bulger,forced-by-method,inf,0.03736243750123928,6,False,0.5867355813061675,0.0
python,ip,10.0,1200.0,relative periodic,True,True,3,14,,mobius,forced-by-method,inf,0.005065767124636166,56,False,0.5867355813061679,3.3306690738754696e-16
python,ip,10.0,1200.0,relative periodic,True,True,3,21,,centres,forced-by-method,inf,2.553735916968435,1,False,0.8165307468464731,nan
python,ip,10.0,1200.0,relative periodic,True,True,3,21,,bulger,forced-by-method,inf,0.4750179160037078,1,False,0.8165307468464733,2.220446049250313e-16
python,ip,10.0,1200.0,relative periodic,True,True,3,21,,mobius,forced-by-method,inf,0.0053067376666823055,54,False,0.8165307468464763,3.219646771412954e-15
python,ip,10.0,1200.0,relative periodic,True,True,3,32,,bulger,forced-by-method,inf,7.188127583009191,1,False,0.9249271925658625,nan
python,ip,10.0,1200.0,relative periodic,True,True,3,32,,mobius,forced-by-method,inf,0.006034749000155855,42,False,0.9249271925658636,nan
python,ip,10.0,1200.0,relative periodic,True,True,3,48,,mobius,forced-by-method,inf,0.006452789600007236,40,False,0.9647861432114746,nan
python,ip,10.0,1200.0,relative periodic,True,True,4,6,,centres,forced-by-method,inf,0.007887766193663184,36,False,2.3025937719483497e-08,nan
python,ip,10.0,1200.0,relative periodic,True,True,4,6,,bulger,forced-by-method,inf,0.00038078255254896993,704,False,2.302593770450039e-08,1.4983106246977215e-17
python,ip,10.0,1200.0,relative periodic,True,True,4,6,,mobius,forced-by-method,inf,0.022627493080411416,12,False,2.3025928004456704e-08,9.715026792747208e-15
python,ip,10.0,1200.0,relative periodic,True,True,4,9,,centres,forced-by-method,inf,0.48174741596449167,1,False,0.08549152213274969,nan
python,ip,10.0,1200.0,relative periodic,True,True,4,9,,bulger,forced-by-method,inf,0.02436181250377558,10,False,0.0854915221327497,1.3877787807814457e-17
python,ip,10.0,1200.0,relative periodic,True,True,4,9,,mobius,forced-by-method,inf,0.0553993020002963,4,False,0.08549152213272665,2.3037127760971998e-14
