# calibrate_rel_ip_cost
# python 3.12.2, numpy 2.4.4
# truncation_sigmas 6.0, period 1200.0
# budget 5.0, repeat_below 0.25, seeds [1]
# times in milliseconds. inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. nan
# means the arm is inadmissible in that mode, or raised.
# declined_* says why an arm was not measured: memory (working set does not
# fit, by exact arithmetic), rate (over budget, predicted from cells already
# timed), prior (over budget, from the built-in rate before any measurement
# existed), budget (it ran, and exceeded).
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,5,16,1,asym,flat,1,3,1,3332,20,240,0.4390,0.8293,1.0583,1.1513,7.5120,2.667e-13,centres,bulger,,,
2,5,16,1,asym,flat,0,25,1,281,20,240,1.2435,0.7033,0.5184,1.0467,5.6322,4.114e-13,grid,mobius,,,
2,5,16,1,asym,flat,1,25,1,400,20,240,0.5239,0.8781,0.3000,1.1513,5.9000,1.018e-12,grid,mobius,,,
2,5,16,4,asym,flat,0,3,1,2289,20,240,3.2423,7.9761,6.2117,16.7467,45.1920,2.986e-14,centres,bulger,,,
2,5,16,4,asym,flat,1,3,1,3332,20,240,4.3810,9.6964,3.3780,18.4213,45.1920,2.087e-14,centres,mobius,,,
2,5,16,4,asym,flat,0,25,1,310,20,240,15.5187,7.9691,1.0433,16.7467,16.1600,1.152e-13,grid,mobius,,,
2,5,16,4,asym,flat,1,25,1,400,20,240,5.7199,9.6845,0.6620,18.4213,19.4000,1.743e-13,grid,mobius,,,
2,5,16,16,asym,flat,0,3,1,2410,20,240,42.2452,118.2354,25.0821,267.9467,648.0720,1.443e-15,centres,mobius,,,
2,5,16,16,asym,flat,1,3,1,3332,20,240,73.2821,176.8520,13.0505,294.7413,648.0720,1.121e-14,centres,mobius,,,
2,5,16,16,asym,flat,0,25,1,333,20,240,273.4572,122.5220,4.4626,267.9467,196.8080,1.088e-14,grid,mobius,,,
2,5,16,16,asym,flat,1,25,1,400,20,240,100.9304,176.4708,2.1834,294.7413,235.4000,1.299e-14,grid,mobius,,,
2,5,16,64,asym,flat,0,3,1,2444,20,240,845.2744,inf,104.9039,4287.1467,10294.1520,9.992e-16,centres,mobius,,rate,
2,5,16,64,asym,flat,1,3,1,3332,20,240,1458.3668,inf,51.2651,4715.8613,10294.1520,6.661e-16,centres,mobius,,rate,
2,5,16,64,asym,flat,0,25,1,336,20,240,4942.1591,inf,18.2912,4287.1467,3101.5760,3.331e-16,grid,mobius,,rate,
2,5,16,64,asym,flat,1,25,1,400,20,240,1866.2110,inf,8.6964,4715.8613,3691.4000,6.661e-16,grid,mobius,,rate,
2,5,16,1,asym,decay,0,3,1,1853,20,240,0.4830,0.6836,1.7127,1.0467,7.5120,9.504e-14,centres,bulger,,,
2,5,16,1,asym,decay,1,3,1,3332,20,240,0.4707,0.8590,1.1142,1.1513,7.5120,6.811e-14,centres,bulger,,,
2,5,16,1,asym,decay,0,25,1,320,20,240,1.2746,0.7788,0.4190,1.0467,5.7200,1.091e-12,grid,mobius,,,
2,5,16,1,asym,decay,1,25,1,400,20,240,0.5756,0.9546,0.2970,1.1513,5.9000,1.023e-12,grid,mobius,,,
2,5,16,4,asym,decay,0,3,1,2258,20,240,3.5643,8.0112,6.0227,16.7467,45.1920,2.109e-15,centres,bulger,,,
